0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.986244019007090174e+02 3.289519496641593599e-02 1.248971780959264141e-04 2.681598674209616728e+00
3.000000000000000000e+00 9.444095480997026471e+02 4.528651256793027324e-02 1.304343200100751253e-04 3.079227333557194690e+00
4.000000000000000000e+00 8.924150948274791517e+02 4.242923237542724907e-02 1.174074714296041445e-04 2.954489698958358002e+00
5.000000000000000000e+00 8.531968742853414369e+02 3.077171924629231239e-02 9.663272894542160817e-05 2.572826544552964556e+00
6.000000000000000000e+00 8.259730390673116744e+02 1.847978353197780518e-02 7.649932346812442446e-05 2.115167721831484826e+00
7.000000000000000000e+00 8.082945053794682053e+02 1.009934844471633598e-02 6.173830139708209408e-05 1.686166954601168833e+00
8.000000000000000000e+00 7.973381424343172057e+02 6.030057710635259097e-03 5.385922260159216183e-05 1.337734915777278877e+00
9.000000000000000000e+00 7.917201755758195532e+02 4.559705032236423435e-03 5.245025569104566209e-05 1.083856997242075071e+00
1.000000000000000000e+01 7.900441441589575788e+02 3.969840841085246243e-03 5.625430203341943411e-05 9.237674581715997757e-01
1.100000000000000000e+01 7.909706218167457337e+02 3.452793278766151230e-03 6.383598788645127324e-05 8.455712601745061230e-01
1.200000000000000000e+01 7.951350124165380748e+02 2.965110124857857528e-03 7.401830283743040704e-05 8.326488483860180478e-01
1.300000000000000000e+01 8.006195663507571680e+02 2.682513885499186648e-03 8.595201604007098419e-05 8.612910311511141614e-01
1.400000000000000000e+01 8.073094730470849072e+02 2.663271881819057486e-03 9.913129848395304546e-05 9.078561051355711342e-01
1.500000000000000000e+01 8.141662151565936938e+02 2.825270130678386900e-03 1.132972684751839751e-04 9.617779293654978856e-01
1.600000000000000000e+01 8.228830100759546440e+02 3.058013559317266598e-03 1.283324465041050827e-04 1.021309778805335799e+00
1.700000000000000000e+01 8.333035505595468067e+02 3.364802668813865905e-03 1.441974154017505293e-04 1.081665374556318060e+00
1.800000000000000000e+01 8.443033099789930702e+02 3.781144475398089556e-03 1.608703764062035385e-04 1.140038066133330918e+00
1.900000000000000000e+01 8.566491395547147931e+02 4.354944476129774845e-03 1.783435677709825965e-04 1.199714164787679227e+00
2.000000000000000000e+01 8.687335799858381051e+02 5.107649085367396008e-03 1.966121013257783959e-04 1.256413301906445623e+00
